pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_spectype,st_teff,st_rad,st_mass,sy_dist,snr_value,can_separate,in_habitable_zone,suitable_radius,suitable_mass,suitable_temp,potential_magnetic_field,is_habitable,sy_gaiamag
HD 115404 A b,HD 115404 A,1,2,Radial Velocity,2022,10.49488,0.088,6.09,30.82936,,K2V,5019.17,0.73,0.83,10.9816,211633.1615606149,True,False,False,False,,,,6.28558
HD 115404 A c,HD 115404 A,1,2,Radial Velocity,2022,15319.22517,11.364,12.5,3279.67133,,K2V,5019.17,0.73,0.83,10.9816,53.46530575705973,False,False,False,False,,,,6.28558
HD 115954 b,HD 115954,1,1,Radial Velocity,2021,3700.0,5.0,12.6,2685.65004,145.0,G0 V,5957.0,1.21,1.18,87.6437,12.104041804279623,False,False,False,False,False,,,8.18736
HD 116029 b,HD 116029,2,2,Radial Velocity,2011,670.0,1.65,13.6,444.962,,K0,4819.0,4.89,0.83,123.245,1069.5202905209785,False,True,False,False,,,,7.60909
HD 116029 c,HD 116029,2,2,Radial Velocity,2018,907.0,,13.7,403.6441,,K0,4951.0,4.6,1.33,123.245,,,,False,False,,,,7.60909
HD 117207 b,HD 117207,1,1,Radial Velocity,2004,2621.75,3.787,13.4,669.34663,,G7 IV-V,5732.0,1.07,1.05,32.3547,136.93415534028853,False,False,False,False,,,,7.07737
HD 11755 b,HD 11755,1,1,Radial Velocity,2015,433.70001,1.09,12.8,1789.3829,,G5,4312.0,20.58,0.72,235.045,10571.96337955004,False,True,False,False,,,,6.46378
HD 117618 b,HD 117618,1,1,Radial Velocity,2004,25.8,0.18,8.59,55.30242,,G2 V,5990.0,1.2,1.08,37.7781,22978.601090012115,True,False,False,False,,,,7.0216
HD 118203 b,HD 118203,1,2,Radial Velocity,2005,6.134989,0.0701,12.554,693.50158,1371.0,K0 IV,5788.0,2.03,1.22,92.2589,155275.7887782478,True,False,False,False,False,,,7.89255
HD 118203 c,HD 118203,1,2,Radial Velocity,2024,5070.0,6.2,12.4,3527.89532,146.0,K0 IV,5788.0,2.03,1.22,92.2589,19.365803582319437,False,False,False,False,False,,,7.89255
HD 11964 b,HD 11964,2,2,Radial Velocity,2005,1945.0,3.16,14.1,198.0,,G9 V CN+1,5303.0,2.01,0.91,33.5369,715.1717369189485,False,False,False,False,,,,6.209
HD 11964 c,HD 11964,2,2,Radial Velocity,2008,37.91,0.229,5.38,25.0,,G9 V CN+1,5303.0,2.01,0.91,33.5369,19826.21765870367,True,False,False,False,,,,6.209
HD 11977 b,HD 11977,1,1,Radial Velocity,2005,711.0,1.93,12.7,2080.0,,G8 III/IV,4970.0,10.09,1.91,67.9331,9552.395379035868,False,False,False,False,,,,4.43863
HD 120084 b,HD 120084,1,1,Radial Velocity,2013,2142.0,4.21,12.7,2034.1018,,G7 III,4879.0,10.37,2.16,103.044,921.6273305465485,False,False,False,False,,,,5.65211
HD 121504 b,HD 121504,1,1,Radial Velocity,2003,63.33,0.33,13.6,479.9233,,G2 V,6027.0,1.07,1.62,41.6592,11204.58152419305,True,False,False,False,,,,7.39023
HD 12235 b,HD 12235,1,2,Radial Velocity,2022,4.36305,0.054,3.23,10.48834,,,5986.0,1.8,1.1,31.7627,114902.03220008148,True,False,False,False,,,,5.74089
HD 12235 c,HD 12235,1,2,Radial Velocity,2022,36336.70679,22.21,12.5,3135.69506,,,5986.0,1.8,1.1,31.7627,10.172626373452339,False,False,False,False,,,,5.74089
HD 122562 c,HD 122562,1,1,Radial Velocity,2022,84.96276,0.406,10.1,73.10053,,,4956.0,2.17,1.24,53.2528,10276.027381187085,False,False,False,False,,,,7.4131
HD 124330 b,HD 124330,1,1,Radial Velocity,2021,270.66,0.86,14.0,238.37131,,G4 IV,5873.0,1.3,1.15,60.1977,1235.9078106722689,False,False,False,False,,,,7.71674
HD 12484 b,HD 12484,1,1,Radial Velocity,2016,58.83,0.297,13.2,947.1334,,F8,5920.0,1.0,1.01,48.3367,8454.364522314494,True,False,False,False,,,,8.04463
HD 125271 b,HD 125271,1,1,Radial Velocity,2022,14901.99295,10.817,12.4,3465.60095,,,4703.93,0.75,0.75,39.3466,4.774609053029285,False,False,False,False,,,,9.35594
HD 125390 b,HD 125390,1,1,Radial Velocity,2019,1757.39151,3.496,11.9,8646.20398,,G7 III,4882.0,6.47,1.82,153.647,205.45251705270613,False,False,False,False,,,,7.94061
HD 125595 b,HD 125595,1,1,Radial Velocity,2009,9.6737,0.08,2.4,6.3566,,K4 V,4691.0,0.74,0.29,28.1989,6197.857888944246,True,False,False,False,,,,8.6555
HD 125612 b,HD 125612,2,3,Radial Velocity,2007,557.69994,1.349,13.2,945.22168,,G3 V,5900.0,1.07,1.05,57.6207,330.16760430913854,False,True,False,False,,,,8.1559
HD 125612 c,HD 125612,2,3,Radial Velocity,2009,4.15466,0.051,4.07,15.57359,,G3 V,5900.0,1.05,1.05,57.6207,21148.03421960863,True,False,False,False,,,,8.1559
HD 125612 d,HD 125612,2,3,Radial Velocity,2009,2822.72698,3.982,12.7,2281.37231,,G3 V,5900.0,1.05,1.05,57.6207,33.77741958680934,False,False,False,False,,,,8.1559
HD 12648 b,HD 12648,1,1,Radial Velocity,2015,133.60001,0.54,13.4,622.9468,,G5,4835.0,11.02,0.67,182.192,22528.208634865085,False,False,False,False,,,,6.7184
HD 126525 b,HD 126525,1,1,Radial Velocity,2018,960.41,1.837,10.3,75.32571,,G4 V,5638.0,0.98,0.9,37.6506,212.99258536243886,False,False,False,False,,,,7.66978
HD 12661 b,HD 12661,1,2,Radial Velocity,2000,262.70862,0.84,13.3,772.3269,,K0,5645.0,1.2,1.2,37.8478,2520.147277548755,False,False,False,False,,,,7.24746
HD 12661 c,HD 12661,1,2,Radial Velocity,2002,1708.0,2.8145,13.4,575.884,,K0,5748.0,1.11,1.02,37.8478,194.97178516919243,False,False,False,False,,,,7.24746
HD 126614 b,HD 126614,3,1,Radial Velocity,2009,1257.25303,2.249,12.7,107.74383,,G8 IV,5568.0,1.37,0.96,73.0961,112.01630769465739,False,False,False,False,,,,8.61907
HD 127506 b,HD 127506,1,1,Radial Velocity,2022,65.78395,0.287,5.67,27.33324,,K3V,4595.32,0.74,0.73,22.5279,4211.3791674248605,True,False,False,False,,,,8.33201
HD 128311 b,HD 128311,1,2,Radial Velocity,2002,453.019,1.084,13.5,562.24127,,K0,4965.0,0.76,0.83,16.3292,3359.7451875448596,False,True,False,False,,,,7.16719
HD 128311 c,HD 128311,1,2,Radial Velocity,2005,921.538,1.74,13.0,1204.25787,,K0,4965.0,0.76,0.83,16.3292,1209.165022887153,False,False,False,False,,,,7.16719
HD 128356 b,HD 128356,1,1,Radial Velocity,2016,298.2,0.87,13.9,282.8687,,K3 V,4875.0,0.85,0.65,26.1548,2696.0388112078845,False,False,False,False,,,,7.97745
HD 129445 b,HD 129445,1,1,Radial Velocity,2009,1840.0,2.9,13.3,797.7493,,G6 V,5646.0,1.18,0.99,67.4386,64.39530565080209,False,False,False,False,,,,8.6178
HD 130322 b,HD 130322,1,1,Radial Velocity,1999,10.70871,0.0925,13.7,365.49,720.0,K0 V,5387.0,0.85,0.92,31.8766,155973.75750854152,True,False,False,False,False,,,7.83448
HD 131496 b,HD 131496,1,1,Radial Velocity,2011,896.0,2.01,13.4,572.094,,K0,4846.0,4.44,1.34,131.849,503.99907756802185,False,False,False,False,,,,7.52124
HD 13167 b,HD 13167,1,1,Radial Velocity,2018,2613.0,4.1,13.1,1052.0173,,G3 V,5671.0,2.39,1.35,148.934,26.289539101683502,False,False,False,False,,,,8.15997
HD 13189 b,HD 13189,1,1,Radial Velocity,2005,471.60001,1.25,12.4,3480.2385,,K2,4175.0,38.41,2.24,497.823,5858.170983317818,False,True,False,False,,,,7.01743
HD 132406 b,HD 132406,1,1,Radial Velocity,2007,908.0,1.98,12.8,1887.90074,,G0 V,5766.0,1.34,0.97,70.7832,149.7748076225977,False,False,False,False,,,,8.28075
HD 132563 b,HD 132563,3,1,Radial Velocity,2011,1544.0,2.62,13.6,473.547,,F8,6289.0,1.3,1.23,105.155,41.18149259525331,False,False,False,False,,,,8.85821
HD 133131 A b,HD 133131 A,2,3,Radial Velocity,2016,649.0,1.44,13.6,451.3186,,G2 V,5799.0,0.96,0.95,51.4736,310.2603027696163,False,True,False,False,,,,8.27532
HD 133131 A c,HD 133131 A,2,3,Radial Velocity,2016,3568.0,4.49,14.3,133.4886,,G2 V,5799.0,0.96,0.95,51.4736,35.28196561186571,False,False,False,False,,,,8.27532
HD 133131 B b,HD 133131 B,2,3,Radial Velocity,2016,5769.0,6.15,13.3,794.575,,G2 V,5805.0,0.99,0.93,51.2993,17.418091254852964,False,False,False,False,,,,8.25674
HD 134060 b,HD 134060,1,2,Radial Velocity,2019,3.2696,0.0444,3.16,10.1,,G3 IV,5966.0,1.16,1.09,24.0125,118208.70177343002,True,False,False,False,,,,6.13951
HD 134060 c,HD 134060,1,2,Radial Velocity,2019,1291.5646,2.3928,5.91,29.29,,G3 IV,5966.0,1.16,1.09,24.0125,142.3650498194482,False,False,False,False,,,,6.13951
HD 134606 b,HD 134606,1,5,Radial Velocity,2024,12.089,0.1046,2.97,9.09,,G5IV,5576.0,1.16,1.05,26.7909,15114.399645586753,True,False,False,False,,,,6.67835
HD 134606 c,HD 134606,1,5,Radial Velocity,2024,58.883,0.3007,3.37,11.31,,G5IV,5576.0,1.16,1.05,26.7909,2354.693133425823,True,False,False,False,,,,6.67835
HD 134606 d,HD 134606,1,5,Radial Velocity,2024,966.5,1.941,7.59,44.8,,G5IV,5576.0,1.16,1.05,26.7909,286.6644595827543,False,False,False,False,,,,6.67835
HD 134606 e,HD 134606,1,5,Radial Velocity,2024,4.3203,0.0527,1.33,2.34,,G5IV,5576.0,1.16,1.05,26.7909,11940.525029687966,True,False,True,True,,True,,6.67835
HD 134606 f,HD 134606,1,5,Radial Velocity,2024,26.915,0.1784,2.24,5.63,,G5IV,5576.0,1.16,1.05,26.7909,2955.613954810884,True,False,False,False,,,,6.67835
HD 134987 b,HD 134987,1,2,Radial Velocity,1999,258.17999,0.81,13.5,511.7063,,G5 V,5736.0,1.22,1.1,26.1804,6032.0454506344095,False,False,False,False,,,,6.28994
HD 134987 c,HD 134987,1,2,Radial Velocity,2009,5000.0,5.8,13.9,260.0,,G5 V,5585.0,1.25,1.1,26.1804,130.93057768090563,False,False,False,False,,,,6.28994
HD 135625 b,HD 135625,1,1,Radial Velocity,2023,4055.0,5.4,13.3,731.00534,,G3 IV/V,6040.64,1.36,1.28,56.518,35.12529730491433,False,False,False,False,,,,7.56578
HD 135694 b,HD 135694,1,1,Transit,2023,15.92346,0.12,2.532,6.1,751.0,,5698.0,1.07,0.91,73.8713,934.0733516932573,True,False,False,False,False,,,8.91307
HD 135872 b,HD 135872,1,1,Radial Velocity,2022,2422.32597,4.172,12.8,1744.56013,,,4992.0,3.93,1.65,82.4251,213.9919691433609,False,False,False,False,,,,7.02764
HD 136118 b,HD 136118,1,1,Radial Velocity,2022,1187.59765,2.327,12.3,4164.18779,,F7 V,6097.0,1.68,1.18,51.4359,298.0597502010685,False,False,False,False,,,,6.79664
HD 136352 b,HD 136352,1,3,Radial Velocity,2019,11.57797,0.0964,1.664,4.72,905.0,G4 V,5664.0,1.06,0.87,14.682,15530.801434425253,True,False,False,True,False,True,,5.48495
HD 136352 c,HD 136352,1,3,Radial Velocity,2019,27.59221,0.1721,2.916,11.24,677.0,G4 V,5664.0,1.06,0.87,14.682,14964.237408751453,True,False,False,False,False,,,5.48495
HD 136352 d,HD 136352,1,3,Radial Velocity,2019,107.245,0.425,2.562,8.82,431.0,G4 V,5664.0,1.06,0.87,14.682,1894.1818974434207,True,False,False,False,False,,,5.48495
HD 136418 b,HD 136418,1,1,Radial Velocity,2009,464.29999,1.29,13.3,680.1562,,G5,4989.0,3.78,1.48,105.168,1373.220351416225,False,True,False,False,,,,7.60946
HD 136925 b,HD 136925,1,1,Radial Velocity,2021,4540.0,5.13,13.9,266.97586,,,5773.19,1.19,0.88,47.874,45.361704189209284,False,False,False,False,,,,7.74447
HD 13724 c,HD 13724,1,1,Radial Velocity,2022,142.22895,0.534,8.18,50.85255,,,5835.31,1.04,1.0,43.465,1343.4187454791336,False,False,False,False,,,,7.73003
HD 137388 b,HD 137388,1,1,Radial Velocity,2011,330.0,0.89,9.32,63.566,,K2 IV,5181.0,0.88,0.68,40.4841,518.1412611436658,False,False,False,False,,,,8.47996
